id,role_id,skill_id
1,1,210
2,1,12
3,1,31
4,1,86
5,1,13
6,1,58
7,1,24
8,1,52
9,1,14
10,1,15
11,1,26
12,1,27
13,1,16
14,1,17
15,1,33
16,1,46
17,2,44
18,2,302
19,2,242
20,2,32
21,2,25
22,2,19
23,2,252
24,2,35
25,2,36
26,2,29
29,5,3
589,5,4
31,14,5
32,13,6
33,5,7
34,11,8
35,4,9
36,1,10
37,5,11
38,1,12
39,1,13
388,14,28
43,1,17
45,2,19
46,4,20
47,4,21
48,13,22
50,1,24
51,2,25
52,1,26
53,1,27
55,2,29
57,5,31
58,2,32
60,1,34
61,2,35
62,2,36
63,11,37
597,13,55
65,5,39
598,13,56
67,9,41
68,9,42
69,9,43
70,2,44
71,5,45
72,1,46
599,13,57
74,8,48
75,8,49
77,1,51
78,1,52
79,9,167
80,7,168
399,5,173
84,1,58
85,4,59
86,2,60
87,4,61
88,4,62
90,4,64
91,7,169
92,7,170
93,7,171
402,1,73
604,13,75
96,1,174
605,13,76
406,10,78
100,1,74
409,13,83
105,5,79
108,13,82
112,1,86
113,13,87
114,13,88
115,2,89
617,11,177
119,4,93
619,14,179
122,1,96
421,10,180
124,2,98
620,15,182
621,15,183
424,5,186
425,1,191
129,15,181
622,1,193
132,15,184
133,15,185
135,15,187
136,10,188
137,12,189
138,11,190
429,1,199
140,1,192
430,1,200
142,14,194
431,15,201
144,10,196
146,15,198
150,6,202
151,6,203
152,1,204
153,6,205
439,14,218
158,1,210
440,6,220
632,11,221
161,14,213
162,11,214
163,7,215
165,8,217
167,11,219
635,1,234
170,8,222
171,9,223
172,9,224
173,9,225
175,7,227
176,6,228
178,6,230
179,2,231
180,6,232
181,2,233
448,13,240
184,1,236
640,14,245
187,13,239
190,2,242
191,2,243
192,10,244
454,3,251
195,6,247
197,7,249
200,2,252
457,1,259
203,9,255
204,9,256
205,4,257
206,4,258
642,6,248
643,9,250
644,13,253
210,5,262
645,13,254
646,1,260
648,14,263
650,13,265
217,15,269
651,4,266
468,13,272
469,1,273
222,6,274
653,14,268
473,12,278
659,14,279
481,10,286
483,1,288
238,14,290
240,15,292
666,6,287
243,1,295
489,14,297
490,9,298
669,1,293
250,2,302
251,9,303
252,5,304
672,15,299
496,7,307
676,1,306
260,12,312
502,2,315
262,2,314
264,7,316
265,6,317
266,6,318
267,7,319
680,9,311
681,10,313
512,2,329
513,5,331
278,2,330
514,1,332
688,4,326
689,1,327
690,4,328
284,5,336
519,10,338
692,8,334
288,14,340
289,8,341
291,6,343
292,15,344
295,15,347
696,10,342
697,15,345
298,5,350
698,1,346
699,2,348
700,10,349
531,15,357
304,9,356
702,2,352
306,8,358
703,13,353
707,4,360
313,12,365
709,1,362
315,5,367
316,5,368
710,10,363
318,7,370
319,13,371
541,1,373
712,14,366
544,9,376
545,5,377
546,6,378
328,5,380
329,15,381
716,7,375
551,1,386
333,1,385
336,13,388
337,5,389
554,15,391
556,6,393
557,4,394
721,1,387
722,15,390
346,5,398
724,2,395
725,7,396
564,1,402
565,10,405
351,14,403
352,15,404
566,6,406
568,10,408
358,2,410
360,6,412
575,6,417
733,12,413
366,6,418
367,5,419
735,6,415
373,2,425
586,12,432
379,6,431
381,2,433
382,5,434
744,1,428
